epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,920.84,1.46859,2.36175,1.47923,0.57758,0.39439,0.46986,0.25209,1.65628,2.67468,1.55549,0.000414095,0.000414095,0.000414095
2,1620.73,1.36733,1.5999,1.38107,0.64193,0.60221,0.60446,0.33923,1.51814,1.98626,1.43541,0.000814312,0.000814312,0.000814312
3,2371.54,1.36064,1.38531,1.33925,0.73271,0.59191,0.65032,0.36449,1.55484,1.66234,1.42837,0.00119803,0.00119803,0.00119803
4,3351.68,1.33019,1.28891,1.33484,0.65168,0.65633,0.62515,0.31776,1.7259,1.66713,1.59688,0.00117575,0.00117575,0.00117575
5,4657.07,1.31449,1.18035,1.30213,0.55986,0.66266,0.62297,0.33552,1.55161,1.43722,1.42201,0.001151,0.001151,0.001151
6,5651.57,1.27977,1.09026,1.31042,0.72155,0.69155,0.68897,0.3808,1.47325,1.19153,1.35671,0.00112625,0.00112625,0.00112625
7,6446.9,1.26154,1.05129,1.28825,0.75783,0.75527,0.75774,0.42089,1.50434,1.14628,1.37831,0.0011015,0.0011015,0.0011015
8,7171.48,1.29093,1.03098,1.28785,0.68132,0.76261,0.66106,0.37739,1.46203,1.20379,1.32176,0.00107675,0.00107675,0.00107675
9,8025.91,1.24004,0.96841,1.26075,0.69066,0.70361,0.70042,0.38028,1.61574,1.2065,1.46052,0.001052,0.001052,0.001052
10,9387.66,1.23284,0.95898,1.2638,0.76373,0.75185,0.77196,0.41407,1.48046,1.10738,1.35922,0.00102725,0.00102725,0.00102725
11,10673.8,1.20103,0.91482,1.24659,0.71524,0.7492,0.74839,0.40416,1.473,1.11264,1.3376,0.0010025,0.0010025,0.0010025
12,11548,1.23215,0.91349,1.24166,0.74177,0.78107,0.7764,0.41994,1.40501,1.00646,1.29643,0.00097775,0.00097775,0.00097775
13,12283.5,1.20021,0.88535,1.23969,0.75082,0.7537,0.7809,0.43037,1.44401,1.02362,1.31566,0.000953,0.000953,0.000953
14,13425.4,1.18236,0.86994,1.22879,0.80557,0.77889,0.7964,0.43701,1.41037,0.92588,1.29153,0.00092825,0.00092825,0.00092825
