epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,973.506,1.31341,2.28771,1.16068,0.88556,0.79348,0.88894,0.67649,0.93792,1.63533,1.14349,0.000663677,0.000663677,0.000663677
2,1991.88,1.39886,1.61468,1.22013,0.65886,0.4409,0.55151,0.33946,1.51597,2.06858,1.70413,0.001304,0.001304,0.001304
3,2981.31,1.4073,1.31855,1.22061,0.831,0.61957,0.74532,0.55885,1.05512,1.75662,1.35615,0.00191793,0.00191793,0.00191793
4,3980.56,1.40058,1.20802,1.23343,0.72792,0.72701,0.74767,0.56029,1.00951,1.19285,1.21842,0.0018812,0.0018812,0.0018812
5,5294.48,1.36474,1.11243,1.21521,0.83892,0.79257,0.89653,0.68973,0.93536,0.98164,1.13863,0.0018416,0.0018416,0.0018416
6,6605.37,1.34017,1.06464,1.20701,0.7643,0.76087,0.8558,0.58371,1.10515,1.09765,1.24369,0.001802,0.001802,0.001802
7,7650.94,1.31866,0.99027,1.1847,0.93173,0.89008,0.94078,0.69091,0.99655,0.81618,1.20809,0.0017624,0.0017624,0.0017624
8,9352.72,1.27264,0.91547,1.15372,0.91356,0.86957,0.92874,0.7319,0.84241,0.74278,1.06318,0.0017228,0.0017228,0.0017228
9,10563.4,1.25449,0.90782,1.14257,0.92908,0.85443,0.91812,0.70539,0.93092,0.74777,1.18363,0.0016832,0.0016832,0.0016832
10,11930,1.26286,0.92289,1.14735,0.93417,0.86957,0.95155,0.76336,0.83738,0.64199,1.07128,0.0016436,0.0016436,0.0016436
11,13563.2,1.2353,0.84824,1.1295,0.84299,0.93373,0.95538,0.78569,0.8342,0.67625,1.08585,0.001604,0.001604,0.001604
12,14793.9,1.18696,0.81072,1.11586,0.98111,0.84783,0.93769,0.76012,0.84548,0.74595,1.0738,0.0015644,0.0015644,0.0015644
13,15972.7,1.19822,0.80673,1.11879,0.94271,0.84783,0.93643,0.76502,0.80902,0.65509,1.02513,0.0015248,0.0015248,0.0015248
14,17152.2,1.1816,0.78227,1.09931,0.9318,0.91304,0.97265,0.80141,0.75515,0.54931,1.01337,0.0014852,0.0014852,0.0014852
15,18272.9,1.15121,0.73482,1.09395,0.94325,0.90327,0.9532,0.78252,0.82744,0.61844,1.02808,0.0014456,0.0014456,0.0014456
16,19395.8,1.15964,0.73349,1.09187,0.91171,0.89799,0.9582,0.78818,0.79245,0.54951,1.02222,0.001406,0.001406,0.001406
17,20570.4,1.12059,0.72282,1.07611,0.92007,0.8587,0.94283,0.75849,0.77047,0.59264,1.00713,0.0013664,0.0013664,0.0013664
